,District Name,January,February,March,April,May,June,July,August,September,October,November,December
100,Surendranagar 2011,53.2,21.175,72.525,40.625,35.625,37.875,47.425,27.75,30.375,57.925,93.95,23.725
101,Gir Somnath 2011,73.275,25.275,96.5,49.775,31.9,37.8,46.45,28.225,39.425,103.95,135.95,43.05
102,Sangli 2012,60.425,43.95,18.525,10.25,18.575,9.4,12.3,37.625,39.8,12.225,11.925,56.025000000000006
103,Solapur 2012,60.425,43.95,18.525,10.25,18.575,9.4,12.3,37.625,39.8,12.225,11.925,56.025000000000006
104,Kolhapur 2012,58.0,27.675,12.3,4.675,9.1,14.9,10.725,83.125,72.425,10.55,5.3500000000000005,56.025
105,Osmanabad 2012,57.825,48.05,19.275,11.6,20.575,10.95,15.2,29.049999999999997,33.625,17.6,16.625,55.3
106,Satara 2012,60.425,43.95,18.525,10.25,18.575,9.4,12.3,37.625,39.8,12.225,11.925,56.025000000000006
107,Jalna 2012,59.25,55.075,23.85,12.2,23.025000000000002,13.95,16.799999999999997,28.45,36.5,21.75,19.125,54.225
108,Dhule 2012,52.325,46.4,19.025000000000002,11.625,20.575,11.55,16.15,30.275,36.225,18.375,15.975,48.9
109,Aurangabad 2012,56.8,51.7,21.725,11.950000000000001,21.950000000000003,12.975,16.575,28.725,35.925,20.325000000000003,17.9,53.125
110,Barddhaman 2012,51.525,48.425,19.799999999999997,10.825,21.3,12.375,15.9,26.625,34.8,18.25,15.425,47.825
111,Sitamarhi 2012,25.05,36.475,30.450000000000003,28.075,30.25,43.35,46.525,29.275,74.6,54.025000000000006,35.425,29.525
112,Samastipur 2012,32.25,40.650000000000006,31.25,21.075,30.650000000000002,32.975,33.325,32.225,62.75,44.55,29.724999999999998,33.025
113,Muzaffarpur 2012,25.05,36.475,30.450000000000003,28.075,30.25,43.35,46.525,29.275,74.6,54.025000000000006,35.425,29.525
114,Khagaria 2012,32.25,40.650000000000006,31.25,21.075,30.650000000000002,32.975,33.325,32.225,62.75,44.55,29.724999999999998,33.025
115,Begusarai 2012,32.25,40.650000000000006,31.25,21.075,30.650000000000002,32.975,33.325,32.225,62.75,44.55,29.724999999999998,33.025
116,Paschim Champaran 2012,14.4,28.95,30.425,36.475,31.075,54.475,65.275,22.35,82.875,61.349999999999994,40.6,25.2
117,Malkangiri 2012,59.75,55.625,23.875,12.1,23.025,14.15,16.875,28.5,36.375,21.725,19.4,54.675
118,Koraput 2012,59.75,55.625,23.875,12.1,23.025,14.15,16.875,28.5,36.375,21.725,19.4,54.675
119,Bargarh 2012,56.025,51.725,21.85,11.675,22.1,13.075,16.4,28.0,36.05,19.875,17.325,52.25
120,Rayagada 2012,60.925,58.625,27.05,12.0,24.325000000000003,14.95,16.725,27.75,38.05,21.95,19.1,53.150000000000006
121,Varanasi 2012,32.25,40.650000000000006,31.25,21.075,30.650000000000002,32.975,33.325,32.225,62.75,44.55,29.724999999999998,33.025
122,Chandauli 2012,32.25,40.650000000000006,31.25,21.075,30.650000000000002,32.975,33.325,32.225,62.75,44.55,29.724999999999998,33.025
123,Fatehabad 2012,16.0,21.675,34.05,35.275,27.95,66.725,66.1,20.325,76.925,78.075,40.35,29.95
124,Ambala 2012,17.525,14.625,27.975,29.275,22.75,90.45,58.45,22.1,70.325,82.125,39.975,25.875
125,Gurdaspur 2012,17.05,15.475,25.275,29.475,24.45,87.975,60.949999999999996,21.325000000000003,77.15,81.65,42.5,19.975
126,Rewari 2012,13.65,28.0,33.15,36.275,30.075,57.575,70.35000000000001,18.725,76.05,64.625,39.025,24.5
127,Bhiwani 2012,13.65,28.0,33.15,36.275,30.075,57.575,70.35000000000001,18.725,76.05,64.625,39.025,24.5
128,Kurukshetra 2012,17.525,14.625,27.975,29.275,22.75,90.45,58.45,22.1,70.325,82.125,39.975,25.875
129,Jhajjar 2012,13.65,28.0,33.15,36.275,30.075,57.575,70.35000000000001,18.725,76.05,64.625,39.025,24.5
130,Jind 2012,16.0,21.675,34.05,35.275,27.95,66.725,66.1,20.325,76.925,78.075,40.35,29.95
131,Kaithal 2012,16.0,21.675,34.05,35.275,27.95,66.725,66.1,20.325,76.925,78.075,40.35,29.95
132,Panipat 2012,16.0,21.675,34.05,35.275,27.95,66.725,66.1,20.325,76.925,78.075,40.35,29.95
133,Saharanpur 2012,16.0,21.675,34.05,35.275,27.95,66.725,66.1,20.325,76.925,78.075,40.35,29.95
134,Muzaffarnagar 2012,16.0,21.675,34.05,35.275,27.95,66.725,66.1,20.325,76.925,78.075,40.35,29.95
135,Panchsheel nagar 2012,13.65,28.0,33.15,36.275,30.075,57.575,70.35000000000001,18.725,76.05,64.625,39.025,24.5
136,Nirmal 2012,67.825,60.7,29.55,9.95,24.125,16.85,16.65,38.75,48.3,21.325,17.05,56.175
137,Siddipet 2012,58.3,52.225,21.35,11.925,21.85,13.05,16.5,28.424999999999997,34.6,20.8,18.799999999999997,55.175
138,East Godavari 2012,63.625,61.675,29.05,12.325,25.0,15.65,17.075,27.9,38.900000000000006,22.95,20.3,53.925
139,Dausa 2012,25.05,36.475,30.450000000000003,28.075,30.25,43.35,46.525,29.275,74.6,54.025000000000006,35.425,29.525
140,Bharatpur 2012,14.4,28.95,30.425,36.475,31.075,54.475,65.275,22.35,82.875,61.349999999999994,40.6,25.2
141,Ajmer 2012,16.825,31.049999999999997,31.125,33.55,31.525,57.125,57.1,32.074999999999996,88.425,62.975,42.05,22.6
142,Banaskantha 2012,8.575,29.275,46.125,33.15,40.55,57.5,49.35,46.325,80.7,64.825,45.0,11.775
